iter	RMSE
0	4.630397152
1	4.327553943
2	4.047385391
3	3.792862009
4	3.564212523
5	3.351503276
6	3.193522948
7	3.032144304
8	2.882984204
9	2.738940487
10	2.652373933
11	2.520425965
12	2.424865639
13	2.375487365
14	2.301808991
15	2.273219894
16	2.246398598
17	2.217490918
18	2.193924849
19	2.102498869
20	2.077833345
21	2.049971599
22	1.97691949
23	1.918698353
24	1.845168851
25	1.825139961
26	1.806868868
27	1.788083564
28	1.754062394
29	1.735715439
30	1.72065719
31	1.674161371
32	1.659471577
33	1.621540372
34	1.613962411
35	1.60136819
36	1.58944569
37	1.578176465
38	1.565973994
39	1.534218336
40	1.468732189
41	1.458350521
42	1.447740049
43	1.410905305
44	1.39472079
45	1.385857575
46	1.374283251
47	1.366665027
48	1.309206286
49	1.304898267
50	1.297804345
51	1.291503285
52	1.284884666
53	1.278932102
54	1.272396971
55	1.216797319
56	1.191974197
57	1.149176685
58	1.14585989
59	1.1080225
60	1.104893923
61	1.099569694
62	1.096630318
63	1.093830586
64	1.091070148
65	1.083477728
66	1.08098217
67	1.078508033
68	1.04148447
69	1.030248151
70	1.027921761
71	1.025696351
72	1.023498654
73	1.02138673
74	1.019343634
75	1.002935644
76	0.9756097718
77	0.9538524436
78	0.9519722178
79	0.9384852945
80	0.9367435187
81	0.935054072
82	0.9270227103
83	0.9254295133
84	0.9061370916
85	0.9046205704
86	0.8936962822
87	0.8922607018
88	0.8908892314
89	0.8895735105
90	0.8883015603
91	0.8709764858
92	0.8697778489
93	0.8686231487
94	0.854810967
95	0.8537114098
96	0.833083376
97	0.8320288032
98	0.8310059248
99	0.8300203203
100	0.8290675453
101	0.8281465375
102	0.8271692932
103	0.8061247428
104	0.8052528213
105	0.8043289232
106	0.8035136455
107	0.8027120793
108	0.7924387355
109	0.7916981097
110	0.7833110408
111	0.782625907
112	0.763651082
113	0.7629684726
114	0.7527221956
115	0.7453181791
116	0.7446046811
117	0.7439268457
118	0.7378292283
119	0.7371892942
120	0.7311808149
121	0.7305579416
122	0.729958818
123	0.7222955604
124	0.7218049673
125	0.7166386909
126	0.7093616704
127	0.7088348517
128	0.7082888204
129	0.7078510997
130	0.7057206657
131	0.7052566735
132	0.7009039377
133	0.7004943658
134	0.7001227257
135	0.6984077852
136	0.6979073299
137	0.6975294303
138	0.6911865919
139	0.6908644448
140	0.6905666065
141	0.685684422
142	0.6853798093
143	0.681250228
144	0.6772640007
145	0.6769998872
146	0.6681975556
147	0.6671096961
148	0.6667819869
149	0.666489823
150	0.6590766763
151	0.6520205554
152	0.6482015306
153	0.6479828186
154	0.6477679565
155	0.6444305726
156	0.6402086491
157	0.6393912973
158	0.6345326016
159	0.6336618164
160	0.6334662955
161	0.6272123233
162	0.6268151178
163	0.6211312729
164	0.6209242859
165	0.6207112638
166	0.6205358139
167	0.6135374477
168	0.6133265774
169	0.6131239123
170	0.6129291005
171	0.6127634038
