iter	Passed	Remaining
0	4	2277
1	6	1689
2	8	1410
3	9	1276
4	11	1240
5	14	1237
6	15	1174
7	17	1104
8	19	1121
9	20	1067
10	21	1016
11	22	977
12	24	969
13	28	1046
14	29	1007
15	30	988
16	32	961
17	33	945
18	34	922
19	35	900
20	36	877
21	37	857
22	42	924
23	44	934
24	45	913
25	46	890
26	46	869
27	47	848
28	49	850
29	50	833
30	51	816
31	52	805
32	53	798
33	54	785
34	55	776
35	56	764
36	57	756
37	57	745
38	58	736
39	59	727
40	60	718
41	69	800
42	70	791
43	71	782
44	73	782
45	73	773
46	74	764
47	75	754
48	83	815
49	84	808
50	85	799
51	86	787
52	87	778
53	88	773
54	89	768
55	90	760
56	91	751
57	98	794
58	99	789
59	100	783
60	101	778
61	102	770
62	103	764
63	104	756
64	105	748
65	106	741
66	111	762
67	113	762
68	113	755
69	114	748
70	115	741
71	116	734
72	117	727
73	117	721
74	118	715
75	119	710
76	120	705
77	122	702
78	124	704
79	125	700
80	126	695
81	127	689
82	127	684
83	128	678
84	129	674
85	130	668
86	131	664
87	132	659
88	135	667
89	137	668
90	138	664
91	139	659
92	140	654
93	141	649
94	142	646
95	142	641
96	143	638
97	144	633
98	145	629
99	150	641
100	151	638
101	152	634
102	153	629
103	154	629
104	156	627
105	156	623
106	159	626
107	160	622
108	162	622
109	163	619
110	164	616
111	165	613
112	166	610
113	167	607
114	168	603
115	169	601
116	170	597
117	171	594
118	175	600
119	176	597
120	177	594
121	177	590
122	178	586
123	179	582
124	179	578
125	180	574
126	181	570
127	181	567
128	182	563
129	183	559
130	183	555
131	184	552
132	185	548
133	186	546
134	187	545
135	188	542
136	189	539
137	190	535
138	190	532
139	191	528
140	191	525
141	192	521
142	193	518
143	193	515
144	194	512
145	195	509
146	196	507
147	196	504
148	200	507
149	201	506
150	202	503
151	203	500
152	203	498
153	204	495
154	205	492
155	205	489
156	206	486
157	207	483
158	207	481
159	209	479
160	209	477
161	210	474
162	213	477
163	215	476
164	215	473
165	216	471
166	217	468
167	218	466
168	219	464
169	219	461
170	220	459
171	221	456
172	222	454
173	222	451
174	223	449
175	224	446
176	227	449
177	229	449
178	229	446
179	230	444
180	231	442
181	231	439
182	232	437
183	233	434
184	235	435
185	236	432
186	236	430
187	237	427
188	237	425
189	238	423
190	241	424
191	242	423
192	243	422
193	244	419
194	245	417
195	245	415
196	246	413
197	247	411
198	248	409
199	249	407
200	249	405
201	250	403
202	251	401
203	252	399
204	254	399
205	256	399
206	257	397
207	258	395
208	259	395
209	260	393
210	262	392
211	263	391
212	264	389
213	267	390
214	269	390
215	270	389
216	271	387
217	274	389
218	277	390
219	278	389
220	283	392
221	284	390
222	285	389
223	287	389
224	288	387
225	290	386
226	290	384
227	292	383
228	293	382
229	297	384
230	299	383
231	300	381
232	301	380
233	302	378
234	302	376
235	304	374
236	305	373
237	306	371
238	309	372
239	313	374
240	314	372
241	315	371
242	315	369
243	316	367
